StellarType,MassMstar/Msun,LuminosityLstar/Lsun,RadiusRstar/Rsun,TempK,Color IndexB-V,Abs MagMv,Bolo CorrBC(Temp),Bolo MagMbol,Star ColorRGB 0-255
K1Ia0,12.5,1220000.0,2300.0,4057.0,1.26,-9.3,-1.17,-10.47,255 220 177
K1Ia,8.3,212000.0,960.0,4057.0,1.26,-7.4,-1.17,-8.57,255 220 177
K1Ib,4.1,17600.0,277.0,4057.0,1.26,-4.7,-1.17,-5.87,255 220 177
K1II,3.3,2320.0,101.0,4057.0,1.26,-2.5,-1.17,-3.67,255 224 175
K1III,2.4,161.0,26.4,4057.0,1.26,0.4,-1.17,-0.77,255 223 181
K1IV,1.6,7.71,4.21,4760.0,1.0,3.1,-0.57,2.53,255 216 171
K1V,0.8,0.443,1.01,4760.0,1.0,6.2,-0.57,5.63,255 224 188
K1VI,0.6,0.134,0.555,4760.0,1.0,7.5,-0.57,6.93,255 224 188
K2Ia0,13.3,1300000.0,2440.0,4000.0,1.28,-9.3,-1.23,-10.53,255 211 135
K2Ia,8.8,225000.0,1020.0,4000.0,1.28,-7.4,-1.23,-8.63,255 211 135
K2Ib,4.3,20600.0,308.0,4000.0,1.28,-4.8,-1.23,-6.03,255 211 135
K2II,3.4,2470.0,107.0,4000.0,1.28,-2.5,-1.23,-3.73,255 222 170
K2III,2.5,206.0,30.8,4000.0,1.28,0.2,-1.23,-1.03,255 221 175
K2IV,1.6,8.38,4.66,4620.0,1.05,3.1,-0.66,2.44,255 229 202
K2V,0.7,0.401,1.02,4620.0,1.05,6.4,-0.66,5.74,255 227 196
K2VI,0.6,0.121,0.56,4620.0,1.05,7.7,-0.66,7.04,255 227 196
K3Ia0,14.2,1460000.0,2720.0,3900.0,1.32,-9.3,-1.36,-10.66,255 204 128
K3Ia,9.4,253000.0,1140.0,3900.0,1.32,-7.4,-1.36,-8.76,255 204 128
K3Ib,4.6,25300.0,359.0,3900.0,1.32,-4.9,-1.36,-6.26,255 204 128
